10.00

#########################################################################################################################################################################
#																																					
#					PUNCH_KICK				PISTOL_SMALL			SHOTGUN				ROCKET						LASER						CLOWN					
#						MELEE_WOOD				PISTOL_LARGE			RIFLE_ASSAULT		GRENADE						STUNGUN						ALIEN
#							MELEE_METAL				PISTOL_SILENCED			RIFLE_SNIPER		MOLOTOV						HEAVY_MG				
#								MELEE_SHARP				RUBBER										FIRE						VEHICLE_MG		    
#									MELEE_GENERIC			SMG											EXPLOSION							    
#																																					
#########################################################################################################################################################################

BLOODFX_TABLE_ALIVE_START

BUTTOCKS			0	080 080 085 080     001 102 001 295	001		108 102 201 		105 105 0   0   105			0	301 402	402 			900	950
THIGH_LEFT			0   070 070 075 070     106 106 106 295	106		108 106 106			105 105 0   0   105 	    0	301 406	406 			900	950
SHIN_LEFT			0   070 070 075 070     001 101 001 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
FOOT_LEFT			0   060 060 075 060     001 101 001 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
THIGH_RIGHT			0   070 070 075 070     106 106 106 295	106		108 106 106 		105 105 0   0   105 	    0	301 406	406 			900	950
SHIN_RIGHT			0   070 070 075 070     001 103 001 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
FOOT_RIGHT			0   060 060 075 060     001 103 101 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
SPINE0				0   080 080 085 080     001 103 001 295	001		108 103 201 		105 105 0   0   105 	    0	301 403	403 			900	950
SPINE1				0   080 080 085 080     001 103 001 295	001		108 103 201 		105 105 0   0   105 	    0	301 403	403 			900	950
SPINE2				0   080 080 085 080     001 103 001 295	001		108 103 201 		105 105 0   0   105 	    0	301 403	403 			900	950
SPINE3				062	080 080 086 080     001 103 001 295	001		108 103 201 		105 105 0   0   105 	    0	301 403	403 			900	950
CLAVICLE_LEFT		0   070 070 075 070     001 103 001 295	001		108 102 201 		105 105 0   0   105 	    0	301 402	402 			900	950
UPPER_ARM_LEFT		0   070 070 075 070     001 101 001 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
LOWER_ARM_LEFT		0   060 060 065 060     001 101 001 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
HAND_LEFT			0   060 060 075 060		001 101 001 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
CLAVICLE_RIGHT		0   070 070 075 070     001 102 001 295	001		108 102 201 		105 105 0   0   105 	    0	301 402	402 			900	950
UPPER_ARM_RIGHT		0   070 070 075 070     001 101 001 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
LOWER_ARM_RIGHT		0   060 060 065 060     001 101 001 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
HAND_RIGHT			0   060 060 075 060 	001 101 001 295	001		108 101 201 		105 105 0   0   105 	    0	301 401	401 			900	950
NECK				062 081 081 086 081     104 104 104 295	104		104 104 104 		105 105 0   0   105 	    0	301 404	404 			900	950
HEAD				065 065 065 085 065     105 105 105 295	105		108 105 202 		105 105 0   0   105 	    0	301 405	405 			900	950
ANIMAL_DEFAULT		060 080 080 085 080     103 103 103 295	103		108 103 201 		105 105 0   0   105 	    0	301 403	403 			900	950
																																				
BLOODFX_TABLE_ALIVE_END																															

BLOODFX_TABLE_DEAD_START

BUTTOCKS			0   580 580 585 580     002 502 002 795	002		508 502 701 		505 505 0   0   505			0	601 802	802 			900	950
THIGH_LEFT			0   570 570 575 570     002 501 002 795	002		508 501 501			505 505 0   0   505 	    0	601 806	806 			900	950
