9.00

#################################################################################################################################################
#																																				#
#  The table below is used to look up what happens to a material when it collides with another													#
#  To see what happens to a material we look up its row and then cross reference with the column of												#
#  the material it has collided with the resulting index is used in the list of infos below this table											#
#  to find out what to do to the material																										#
#																																				#
#################################################################################################################################################
#																																				#
#						PUNCH_KICK				PISTOL_SMALL			SHOTGUN				ROCKET						LASER					#
#						    MELEE_WOOD				PISTOL_LARGE			RIFLE_ASSAULT  	    GRENADE						STUNGUN				#
#								MELEE_METAL				PISTOL_SILENCED			RIFLE_SNIPER		MOLOTOV						HEAVY_MG		#
#									MELEE_SHARP				RUBBER    	    		   					FIRE						VEHICLE_MG	#
#										MELEE_GENERIC			SMG											EXPLOSION					SPARE2  #
#																																				#
#################################################################################################################################################

WEAPONFX_TABLE_START

VOID					0   0	0   0	0		0   0   0   0	0		0   0   0   		903   0   0   0 903	    	0	0   0	0	0
GENERIC					0   500 500 500 500		999 999 999 999 999		999 999 999			903 908 950 900	903	    	0	700 999	999	0
																																	
CONCRETE				0   500 500 500 500		110 111 110 130	110		114 111 113			904 909 950 900	904		0	700 111	111	0
CONCRETE_DUSTY			0   500 500 500 500		110 111 110 130	110		114 111 113			904 909 950 900	904		0	700 111	111	0
TARMAC					0   500 500 500 500		298 298 298 130	298		298 298 298			904 909 950 900	904		0	700 297	297	0
TARMAC_BRITTLE				0   500 500 500 500		297 297 297 130	297		297 297 297			904 909 950 900	904	    	0	700 297	297	0
STONE					0   500 500 500 500		110 111 110 130	110		114 111 113			904 909 950 900	904		0	700 111	111	0
BRICK					0   500 500 500 500		110 111 110 130	110		114 111 113			904 909 950 900	904		0	700 262	262	0
MARBLE					0   500 500 500 500		110 111 110 130	110		114 111 113			904 909 950 900	904		0	700 111	111	0
PAVING					0   500 500 500 500		110 111 110 130	110		114 111 113			904 909 950 900	904		0	700 111	111	0
SANDSTONE				0   500 500 500 500		173 173 173 170	173		172 173 173			904 909 950 900	904		0	700 172	172	0
SANDSTONE_BRITTLE			0   500 500 500 500		173 173 173 170	173		172 173 173			904 909 950 900	904		0	700 172	172	0
																																	
SAND_LOOSE				0   0   0   0   0   			158 158 158 158	158		157 157 158			905 910 950 900	905		0	700 157	157	0
SAND_COMPACT				0   0   0   0   0   			163 163 163 163	163		162 162 163			905 910 950 900	905		0	700 162	162	0
SAND_WET				0   0   0   0   0   			168 168 168 168	168		167 167 168			905 910 950 900	905		0	700 167	167	0
SAND_UNDERWATER			0   0   0   0   0   			168 168 168 168	168		167 168 168			905 910 950 900	905		0	700 167	167	0
SAND_DEEP				0   0   0   0   0   			158 158 158 158	158		157 157 158			905 910 950 900	905		0	700 157	157	0
SAND_WET_DEEP				0   0   0   0   0   			168 168 168 168	168		167 167 168			905 910 950 900	905		0	700 167	167	0
ICE					0   530 530 530 530		243 243 243 243	243		242 243 243			903 911 950 900	903 	    	0	700 242	242	0
SNOW_LOOSE				0   280 280 280 280 		283 283 283 283	240		282 283 283			905 910 950 900	905 	    	0	700 282	282	0
SNOW_COMPACT				0   530 530 530 530		243 243 243 243	243		242 243 243			905 910 950 900	905 	    	0	700 242	242	0
GRAVEL					0   500 500 500 500		153 153 153 130	153		152 152 153			903 911 950 900	903		0	700 152	152	0
GRAVEL_DEEP				0   500 500 500 500		153 153 153 130	153		152 152 153			903 911 950 900	903		0	700 152	152	0
DIRT_DRY				0   0   0   0   0   			203 203 203 203	203		202 202 203			905 910 950 900	905		0	700 202	202	0
MUD_SOFT				0   0   0   0   0   			168 168 168 168	168		167 167 168			905 910 950 900	905		0	700 167	167	0
MUD_DEEP				0   0   0   0   0   			168 168 168 168	168		167 168 168			905 910 950 900	905		0	700 167	167	0
MUD_UNDERWATER			0   0   0   0   0   			168 168 168 168	168		167 168 168			905 910 950 900	905		0	700 167	167	0
CLAY					0   0   0   0   0   			181 181 181 181	181		181 181 181			905 910 950 900	905 	    	0	700 181	181	0
																																	
GRASS					0   0	0   0	0		186 186 186 130	186		185 186 186			903 911 950 900	907 	    	0	700 185	185	0
GRASS_SHORT				0   0	0   0	0		185 185 185 185	185		185 185 185			903 911 950 900	907 	    	0	700 185	185	0
HAY					0   0	0   0	0		198 198 198 198	198		197 198 198			904 909 950 900	904			0	700 197	197	0
BUSHES					0   210 210 210 210		213 213 213 213 213 		212 213 213 			903 911 950 907 907 	    	0	700 212	212	0
TREE_BARK				0   520 520 520 520		124 124 124 130	124		123 123 124			903 911 950 900	906 	    	0	700 123	123	0
LEAVES					0   210 210 210 210 		213 213 213 213 213 		212 212 213 			903 911 950 900	908			0	700 212	212	0
																																	
METAL					0   510 510 510 510 		101 102 101 130	101		104 102 104			903 911 950 900	903 	    	0	702 102	102	0
																																	
WOOD					0   520 520 520 520		124 123 124 130	124		123 123 124			903 911 950 900	906 	    	0	700 123	123	0
WOOD_DUSTY				0   520 520 520 520		124 123 124 130	124		123 123 124			903 911 950 900	906 	    	0	700 123	123	0
WOOD_SPLINTER				0   520 520 520 520		124 123 124 130	124		123 123 124			903 911 950 900	906		0	700 123	123	0
																																	
CERAMIC					0   500 500 500 500		113 112 113 130	113		112 113 113			903 911 950 900	903 	    	0	700 112	112	0
CARPET_FABRIC				0   0   0   0   0			223 222 223 130	223		222 223 223			903 911 950 900	903 	    	0	700 222	222	0
CARPET_FABRIC_DUSTY			0   0   0   0   0			223 222 223 130	223		222 223 223			903 911 950 900	903 	    	0	700 222	222	0
PLASTIC					0   500 500 500 500		136 137 136 130	136		137 136 136			903 911 950 900	903 	    	0	702 137	137	0
PLASTIC_HOLLOW				0   500 500 500 500		136 137 136 130	136		137 136 136			903 911 950 900	903 	    	0	702 137	137	0
RUBBER					0   0   0   0   0			132 132 132 130	132 		132 132 132 			903 911 950 900	906 	    	0	700 132	132	0
LINOLEUM				0   520 520 520 520		113 112 113 130	113		112 113 113			903 911 950 900	903		0	700 112	112	0
PLASTER_BRITTLE				0   500 500 500 500		118 117 118 130	118		118 118 118			903 911 950 900	903 	    	0	700 117	117	0
CARDBOARD				0   0   0   0   0			193 192 193 130	193		193 193 193			903 911 950 900	903 	    	0	702 192	192	0
PAPER					0   0   0   0	0		143 142 143 130	143		142 142 143			903 911 950 900	903 	    	0	702 142	142	0
FOAM					0   0   0   0	0		175 177 175 175	175		177 176 176			903 911 950 900	904		0	700 177	177	0
FEATHERS				0   230 230 230 230 		233 232 233 233	233		232 232 233			903 911 950 900	903 	    	0	700 232	232	0
TVSCREEN				0   240 240 240 240 		243 242 243 243	243		242 242 243			903 911 950 900	903 	    	0	700 242	242	0
																																	
GLASS					531 530 530 530 530		52  55  55  52	55		01  55  55			57	57 950 900	57	0	50	58	56	0
GLASS_BULLETPROOF			0   240 240 240 240 		240 241 240 240	240		244 243 243			903 911 950 900	903 	    	0	700 243	56	0
																																	
CAR_METAL				0   515 510 510 510 		101 102 101 130	101		104 102 104			903 911 950 900	903 	    	0	702 102	102	0
CAR_PLASTIC				0   515 510 510 510 		136 137 136 130	136		136 136 136			903 911 950 900	903 	    	0	702 137	137	0
CAR_GLASS				531 530 530 530 530		52  55  55  50	55		01  55  55			57	57  950 900	57	0	50	56	56	0
																																	
PUDDLE					0   0	0   0	0		314 314 314 314	314		314 314 314			312 313 313	0	0	 0	0   315	315	0

LIQUID_WATER				0   0	0   0	0		314 314 314 314	314		314 314 314			312 313 313	0	0	 0	0   314	311	0
LIQUID_BLOOD				0   0	0   0	0		320 320 320 320	320		320 320 320			321 321 321 0	0	    	 0	0   320	320	0
LIQUID_OIL				0   0	0   0	0		330 330 330 330	330		330 330 330			331 331 331 0	0	    	 0	0   330	330	0
LIQUID_PETROL				0   0	0   0	0		340 340 340 340	340		340 340 340			341 341 341 0	0	    	 0	0   340	340	0
LIQUID_MUD				0   0	0   0	0		350 350 350 350	350		350 350 350			351 351 351 0	0	    	 0	0   350	350	0
																																	
FRESH_MEAT				0   0	0   0	0		290 290 290 290	290		291	291	291			290	290	290	290	290			290	290	291	291	0
DRIED_MEAT				0   0	0   0	0		290 290 290 290	290		291	291	291			290	290	290	290	290			290	290	291	291	0
																																	
