EXPLOSIONFX_TABLE_START																																										   												
																																																											
EXP_VFXTAG_GRENADE				exp_grd_grenade				exp_grd_gren_sp			-							exp_grd_grenade_lod			exp_air_grenade				-						-					exp_air_grenade_lod			1.2		1			0		0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
EXP_VFXTAG_STICKYBOMB			exp_grd_sticky				exp_grd_sticky_sp		-							exp_grd_sticky_lod			exp_air_grenade				-						-					exp_air_grenade_lod			1.5		1			0		0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
EXP_VFXTAG_MOLOTOV				exp_grd_molotov				-						-							exp_grd_molotov_lod			exp_air_molotov				-						-					exp_air_molotov_lod			0.5		3			3		1		8.0		0.5		0.5		0.5		0.7		1.0		0.8		1.0		1.0		0.5
EXP_VFXTAG_ROCKET				exp_grd_rpg					exp_grd_rpg_sp			exp_grd_rpg_post			exp_grd_rpg_lod				exp_air_rpg					exp_air_rpg_sp			-					exp_air_rpg_lod				0.8		1			1		5		5.0		0.5		0.5		1.0		0.7		1.0		0.8		2.5		0.0		0.0
EXP_VFXTAG_PETROL_PUMP			exp_grd_petrol_pump			exp_grd_petrol_pump_sp	exp_grd_petrol_pump_post	-							exp_grd_petrol_pump			exp_grd_petrol_pump_sp	-					-							2.2		3			2		3		5.0		1.0		2.0		4.0		0.7		1.0		0.8		2.5		1.0		0.25
EXP_VFXTAG_VEHICLE				exp_grd_vehicle				exp_grd_vehicle_sp		-							exp_grd_vehicle_lod			exp_air_rpg					exp_air_rpg_sp			-					exp_air_rpg_lod				0.6		3			0		6		5.0		0.3		2.0		0.5		0.7		1.0		0.8		2.5		0.0		0.05
EXP_VFXTAG_BIKE					exp_grd_vehicle				exp_grd_vehicle_sp		exp_grd_vehicle_post		exp_grd_vehicle_lod			exp_air_rpg					exp_air_rpg_sp			-					exp_air_rpg_lod				0.6		2			2		4		1.0		0.4		2.0		4.0		0.7		1.0		0.8		2.5		1.0		0.25
EXP_VFXTAG_DIR_STEAM			exp_sht_steam				-						-							-							exp_sht_steam				-						-					-							1.0		0			0		0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
EXP_VFXTAG_DIR_FLAME			exp_sht_flame				-						-			 				-							exp_sht_flame				-						-			 		-							1.0		1			0		0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
EXP_VFXTAG_DIR_WATER_HYDRANT	exp_hydrant					-						-							-							exp_hydrant					-						-					-							1.5		0			0		0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
